Team,18,17,16,15,14,13,12,11,10,9
Leicester,9,9,12,1,14,,,,,
Arsenal,5,6,5,2,3,4,4,3,4,3
Tottenham,4,3,2,3,5,6,5,4,5,4
Man City,1,1,3,4,2,1,2,1,3,5
Man United,6,2,6,5,4,7,1,2,1,2
Southampton,16,17,8,6,7,8,15,,,
West Ham,10,13,11,7,12,13,9,,20,17
Liverpool,2,4,4,8,6,2,7,9,6,7
Stoke,,19,13,9,9,9,16,13,13,11
Chelsea,3,5,1,10,1,3,3,6,2,1
Everton,8,8,7,11,11,5,6,7,7,8
Swansea,,18,15,12,8,12,12,12,,
Watford,11,14,17,13,,,,,,
West Brom,,20,10,14,13,17,8,10,11,
Crystal Palace,12,11,,15,10,11,,,,
Bournemouth,14,12,9,16,,,,,,
Sunderland,,,20,17,16,14,17,14,10,13
Newcastle,13,10,,18,15,10,11,5,12,
Norwich,,,,19,,18,14,11,,
Aston Villa,,,,20,17,15,13,19,9,6
Burnley,15,7,16,,19,,,,,18
Hull,,,18,,18,16,,,,19
Middlesbrough,,,19,,,,,,,
QPR,,,14,,20,,20,17,,
Fulham,19,,,,,19,10,8,8,12
Cardiff,18,,,,,20,,,,
Wigan,,,,,,,18,15,16,16
Reading,,,,,,,19,,,
Bolton,,,,,,,,16,14,14
Blackburn,,,,,,,,18,15,10
Wolves,7,,,,,,,20,17,15
Birmingham,,,,,,,,,18,9
Blackpool,,,,,,,,,19,
Huddersfield,20,16,,,,,,,,
Brighton,17,15,,,,,,,,
