Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HomeTeamLP,AwayTeamLP,MW
14/08/10,Aston Villa,West Ham,3.0,0.0,H,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,9.0,20.0,1
14/08/10,Blackburn,Everton,1.0,0.0,H,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,15.0,7.0,1
14/08/10,Bolton,Fulham,0.0,0.0,D,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,14.0,8.0,1
14/08/10,Chelsea,West Brom,6.0,0.0,H,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,2.0,11.0,1
14/08/10,Sunderland,Birmingham,2.0,2.0,D,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,10.0,18.0,1
14/08/10,Tottenham,Man City,0.0,0.0,D,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,5.0,3.0,1
14/08/10,Wigan,Blackpool,0.0,4.0,A,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,16.0,19.0,1
14/08/10,Wolves,Stoke,2.0,1.0,H,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,17.0,13.0,1
15/08/10,Liverpool,Arsenal,1.0,1.0,D,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,6.0,4.0,1
16/08/10,Man United,Newcastle,3.0,0.0,H,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1.0,12.0,1
21/08/10,Arsenal,Blackpool,6.0,0.0,H,6.0,2.0,6.0,2.0,1,3,D,M,M,M,M,W,M,M,M,M,4.0,19.0,2
21/08/10,Birmingham,Blackburn,2.0,1.0,H,2.0,1.0,2.0,1.0,1,3,D,M,M,M,M,W,M,M,M,M,18.0,15.0,2
21/08/10,Everton,Wolves,1.0,1.0,D,1.0,2.0,1.0,2.0,0,3,L,M,M,M,M,W,M,M,M,M,7.0,17.0,2
21/08/10,Stoke,Tottenham,1.0,2.0,A,1.0,0.0,1.0,0.0,0,1,L,M,M,M,M,D,M,M,M,M,13.0,5.0,2
21/08/10,West Brom,Sunderland,1.0,0.0,H,1.0,2.0,1.0,2.0,0,1,L,M,M,M,M,D,M,M,M,M,11.0,10.0,2
21/08/10,West Ham,Bolton,1.0,3.0,A,1.0,0.0,1.0,0.0,0,1,L,M,M,M,M,D,M,M,M,M,20.0,14.0,2
21/08/10,Wigan,Chelsea,0.0,6.0,A,0.0,6.0,0.0,6.0,0,3,L,M,M,M,M,W,M,M,M,M,16.0,2.0,2
22/08/10,Fulham,Man United,2.0,2.0,D,2.0,3.0,2.0,3.0,1,3,D,M,M,M,M,W,M,M,M,M,8.0,1.0,2
22/08/10,Newcastle,Aston Villa,6.0,0.0,H,6.0,3.0,6.0,3.0,0,3,L,M,M,M,M,W,M,M,M,M,12.0,9.0,2
23/08/10,Man City,Liverpool,3.0,0.0,H,3.0,1.0,3.0,1.0,1,1,D,M,M,M,M,D,M,M,M,M,3.0,6.0,2
